filename,1_block,2_blocks,3_blocks
peppers.pgm,6.762425168341651,8.22352078232969,8.98675876142051
lena.pgm,7.445061352834159,8.571635705075016,9.156852239403646
boat.pgm,7.19137021806924,8.32152160093275,8.87750455569942
barbara.pgm,7.632119010904522,8.830592685140877,9.357942850549557
chronometer.pgm,6.113328352510163,6.98944112828863,7.477657180686627
mandril.pgm,7.2925487746813635,8.509755139954006,9.226835583333136
normal_10.pgm,5.368684962919432,6.581258175883418,7.214677425997511
geometr_09.pgm,4.693658431827915,5.523148915443712,5.9162274983647345
geometr_099.pgm,7.654407130466126,8.46965262466279,8.797475629297432
laplace_30.pgm,7.287118849352337,8.609671346678342,9.203398448380163
laplace_20.pgm,6.756458638340566,8.152103280957895,8.833623235369869
uniform.pgm,7.99931779066788,8.718335382599287,9.033465452372944
laplace_10.pgm,5.767144375261503,7.176222183297323,7.880817496873984
normal_50.pgm,7.649568444679083,8.755878693590255,9.240282152254112
geometr_05.pgm,2.0009950011640467,2.712605980549464,3.1164150167640066
normal_30.pgm,6.954314060243361,8.168245821794013,8.799385478272757
